epoch,rx_pkts,age_ms,remote_state
1783369310,7113,3633.8,3,0
1783369311,7113,4634.7,3,0
1783369312,7113,5635.5,3,0
1783369313,7113,6635.9,3,0
1783369314,7113,7636.4,3,0
1783369315,7113,8636.8,3,0
1783369316,7113,9637.7,3,0
1783369317,7113,10638.2,3,0
1783369318,7150,2.8,3,1
1783369319,7265,3.2,3,1
1783369320,7384,5.6,3,1
1783369321,7499,6.2,3,1
1783369322,7606,1.5,3,1
1783369323,7722,2.1,3,1
1783369324,7837,3.8,3,1
1783369325,7855,6.9,3,1
1783369326,7969,5.0,3,1
1783369327,8083,6.6,3,1
1783369328,8198,3.7,3,1
1783369329,8230,730.3,1,1
1783369330,8319,3.0,3,1
1783369331,8433,1.8,3,1
1783369332,8546,4.2,3,1
1783369333,8666,1.1,3,1
1783369334,8780,1.1,3,1
1783369335,8895,1.6,3,1
1783369336,9009,3.5,3,1
1783369337,9123,8.6,3,1
1783369338,9237,2.2,3,1
1783369339,9352,4.2,3,1
1783369340,9423,431.2,3,0
1783369341,9423,1432.2,3,0
1783369342,9423,2432.9,3,0
1783369343,9423,3433.7,3,0
1783369344,9423,4434.3,3,0
1783369345,9423,5434.8,3,0
1783369346,9423,6435.4,3,0
1783369347,9423,7436.2,3,0
1783369348,9423,8436.7,3,0
1783369349,9423,9437.2,3,0
1783369350,9423,10437.8,3,0
1783369351,9437,4.6,3,1
1783369352,9524,258.0,1,1
1783369353,9581,4.3,3,1
1783369354,9697,1.6,3,1
1783369355,9811,6.0,3,1
1783369356,9928,2.4,3,1
1783369357,10042,3.2,3,1
1783369358,10155,9.1,3,1
1783369359,10270,6.4,3,1
1783369360,10383,4.6,3,1
1783369361,10497,1.4,3,1
1783369362,10612,0.8,3,1
1783369363,10712,133.2,1,1
1783369364,10755,1.2,3,1
1783369365,10869,15.4,1,1
1783369366,10986,2.7,3,1
1783369367,11096,6.4,3,1
1783369368,11208,7.5,3,1
1783369369,11323,1.5,3,1
1783369370,11431,7.2,3,1
1783369371,11545,7.2,3,1
1783369372,11580,711.1,1,1
1783369373,11658,231.3,3,0
1783369374,11658,1232.0,3,0
1783369375,11658,2232.4,3,0
1783369376,11658,3233.0,3,0
1783369377,11658,4233.8,3,0
1783369378,11658,5234.2,3,0
1783369379,11658,6234.8,3,0
1783369380,11658,7235.4,3,0
1783369381,11658,8236.0,3,0
1783369382,11658,9236.7,3,0
1783369383,11658,10237.4,3,0
1783369384,11658,11238.0,3,0
1783369385,11658,12238.5,3,0
1783369386,11658,13239.1,3,0
1783369387,11658,14239.4,3,0
1783369388,11658,15239.9,3,0
1783369389,11658,16240.4,3,0
1783369390,11658,17241.1,3,0
1783369391,11658,18241.5,3,0
1783369392,11658,19242.0,3,0
1783369393,11658,20242.4,3,0
1783369394,11658,21243.0,3,0
1783369395,11658,22243.6,3,0
1783369396,11658,23244.3,3,0
1783369397,11658,24245.1,3,0
1783369398,11658,25245.6,3,0
1783369399,11658,26246.1,3,0
1783369400,11658,27246.8,3,0
1783369401,11658,28247.4,3,0
1783369402,11658,29248.1,3,0
1783369403,11658,30248.8,3,0
1783369404,11658,31249.6,3,0
1783369405,11658,32250.4,3,0
1783369406,11658,33250.8,3,0
1783369407,11658,34251.7,3,0
1783369408,11658,35252.6,3,0
1783369409,11658,36253.7,3,0
1783369410,11658,37254.6,3,0
1783369411,11658,38256.1,3,0
1783369412,11658,39257.1,3,0
1783369413,11658,40257.7,3,0
1783369414,11658,41258.4,3,0
1783369415,11658,42259.4,3,0
1783369416,11658,43259.9,3,0
1783369417,11658,44260.5,3,0
1783369418,11658,45261.2,3,0
1783369419,11658,46261.8,3,0
